編號,抽驗日期,檢體名稱,供應代號,來源廠商,件數,總重量（公斤）,加強抽驗/到貨日期,加強抽驗結果,備註
44,1150321,青蔥,N88006-C16,保證責任彰化縣鹿港農漁牧生產合作社,4,80,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
45,1150322,"其他
(國產人心果)",S88333-565,保證責任高雄市協豐果菜運銷合作社,2,12,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
46,1150322,辣椒,Q00186-626,鹿草鄉農會,3,30,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
47,1150322,木瓜,T00448-329,潮州鎮農會,26,156,,未到貨,"1.該供應人不合格果菜尚未到貨
2.持續追蹤到貨情況"
48,1150324,芫荽,Q00094-122,新港鄉農會,2,24,,尚在停供期間,
49,1150324,"其他
(國產燈籠果)",T99147-J29,保證責任屏東縣南豐果菜生產合作社,2,20盒,,尚在停供期間,
50,1150324,辣椒,N01058-516,保證責任台灣省青果運銷合作社台中分社源泉集貨場,10,100,,尚在停供期間,
51,1150324,九層塔,P01040-591,保證責任台灣省青果運銷合作社嘉南分社田尾集貨場,4,48,,尚在停供期間,
52,1150324,九層塔,P99733-G93,保證責任雲林縣復興合作農場,4,40,,尚在停供期間,
53,1150325,韭菜,N00226-427,田尾鄉農會,1,12,,尚在停供期間,
54,1150325,草莓,K00672-148,大湖地區農會,81,300盒,,尚在停供期間,
55,1150327,辣椒,T00482-422,里港鄉農會,8,114,,尚在停供期間,
56,1150327,蘿蔔,N99729-H27,保證責任彰化縣果菜運銷合作社,32,896,,尚在停供期間,
57,1150327,豌豆,N99682-249,保證責任彰化縣原斗果菜生產合作社,2,20,,尚在停供期間,
58,1150328,九層塔,P99146-045,保證責任雲林縣吳厝社區合作農場,5,30,,尚在停供期間,
59,1150329,甘藷葉,P00067-A32,土庫鎮農會,5,75,,尚在停供期間,
60,1150329,辣椒,Q00186-603,鹿草鄉農會,1,14,,尚在停供期間,
61,1150329,九層塔,P99733-040,保證責任雲林縣復興合作農場,2,20,,尚在停供期間,
62,1150331,萵苣菜,P01040-122,保證責任台灣省青果運銷合作社嘉南分社田尾集貨場,13,260,,尚在停供期間,
,,,,,,,,,4/2統計
