資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市網路與臨櫃申報件數統計表,財稅,105年至113年臺北市地方稅網路與臨櫃申報件數統計表,"資料年度、稅目別、網路申報件數、臨櫃件數、縣市別代碼、機關代號
"
臺北市稅捐稽徵處牌照稅徵績下期滯納期滿,財稅,臺北市稅捐稽徵處牌照稅徵績-下期滯納期滿,車種別、查定數輛數、查定數稅額、徵起數輛數、徵起數稅額、徵績輛數百分比、徵績稅額百分比
臺北市15歲以上同性婚姻人口之教育程度,統計,臺北市15歲以上同性婚姻人口之教育程度時間數列統計資料,"統計期、性別、總計[人]、博士畢業[人]、碩士畢業[人]、大學畢業[人]、專科畢業[人]、高中畢業[人]、國中畢業[人]、國小畢業以下[人]
"
臺北市15歲以上同性婚姻人口按年齡別,統計,臺北市15歲以上同性婚姻人口按年齡別時間數列統計資料,統計期、年齡別、性別、總計[人]、有偶[人]、終止結婚[人]、喪偶[人]
臺北市辦理調解業務按方式別,統計,"臺北市辦理調解業務按方式別時間數列統計資料
",統計期、成立別、結案件數/總計[件]、結案件數/委員集體開會調解[件]、結案件數/委員獨任調解[件]、結案件數/協同調解[件]
臺北市辦理調解業務按案件別,統計,"臺北市辦理調解業務按案件別時間數列統計資料
",統計期、成立別、結案件數總計[件]、民事結案件數/合計[件]、民事結案件數/債權債務[件]、民事結案件數/物權[件]、民事結案件數/親屬[件]、民事結案件數/繼承[件]、民事結案件數/商事[件]、民事結案件數/營建工程[件]、民事結案件數/其他[件]、刑事結案件數/合計[件]、刑事結案件數/妨害風化[件]、刑事結案件數/妨害婚姻及家庭[件]、刑事結案件數/傷害[件]、刑事結案件數/妨害自由名譽信用及祕密[件]、刑事結案件數/竊盜及侵占詐欺[件]、刑事結案件數/毀棄損壞[件]、刑事結案件數/其他[件]
臺北e大數位學習網課程清單,統計,"「臺北e大數位學習網」自90年11月正式開站以來，呈現穩定成長趨勢，目前會員人數已逾147萬人，課程數2,026餘門。
此一資料集係提供可免登入直接觀看之課程清單。",編號、主類別、副類別、次類別、課名、課程介紹連結、選課人數、認證時數
臺北e大數位學習107年度報名人次統計,統計,提供臺北e大107年度報名人次資料,課程主類別、課程副類別、課程次類別、課程名稱、報名人次總計
臺北市死亡者處理,統計,臺北市死亡者處理時間數列統計資料,統計期、性別、總數[具]、土葬數[具]、火化數[具]
臺北市金融市場行情(79年以後),統計,"臺北市金融市場行情(79年以後)時間數列統計資料
",統計期、黃金[飾金]市價[元/臺錢]、美元匯率官價[元]、美元匯率市價[元]、日圓匯率官價/買價[元]、日圓匯率官價/賣價[元]、日圓匯率市價[元]、港幣匯率官價/買價[元]、港幣匯率官價/賣價[元]、港幣匯率市價[元]、民間遠期支票借款平均利率[月息百分比率]、民間信用拆借平均利率[月息百分比率]、公定利息[每萬元月息]
臺北市金融機構存放款餘額,統計,臺北市金融機構存放款餘額時間數列統計資料,統計期、存款/總計[百萬元]、存款/本國銀行[百萬元]、存款/外國銀行在臺分行[百萬元]、存款/大陸地區銀行在臺分行[百萬元]、存款/基層金融機構[百萬元]、存款/信託投資公司[百萬元]、存款/中華郵政公司[百萬元]、中華郵政公司儲匯處轉存款/本國銀行[百萬元]、中華郵政公司儲匯處轉存款/外國銀行在臺分行[百萬元]、放款/總計[百萬元]、放款/本國銀行[百萬元]、放款/外國銀行在臺分行[百萬元]、放款/大陸地區銀行在臺分行[百萬元]、放款/基層金融機構[百萬元]、放款/信託投資公司[百萬元]、存放比率[%]
臺北市金融機構,統計,"臺北市金融機構時間數列統計資料
",統計期、總計[家]、本國銀行[家]、外國銀行在臺分行[家]、陸商銀行在臺分行[家]、信託投資公司[家]、信用合作社[家]、農會信用部[家]、漁會信用部[家]、票券金融公司[家]、證券金融公司[家]、本國人壽保險公司[家]、本國產物保險公司[家]、本國再保險公司[家]、外國人壽保險公司[家]、外國產物保險公司[家]、外國再保險公司[家]、金融控股公司[家]
臺北市15歲以上原住民之教育程度,統計,臺北市15歲以上原住民之教育程度時間數列統計資料,統計期、原住民別、性別、總計、博士/計[人]、博士/畢業[人]、博士/肄業[人]、碩士/計[人]、碩士/畢業[人]、碩士/肄業[人]、大學/計[人]、大學/畢業[人]、大學/肄業[人]、專科/合計/計[人]、專科/合計/畢業[人]、專科/合計/肄業[人]、專科/二或三年制/計[人]、專科/二或三年制/畢業[人]、專科/二或三年制/肄業[人]、專科/五年制/後兩年/計[人]、專科/五年制/後兩年/畢業[人]、專科/五年制/後兩年/肄業[人]、高級中等/普通教育[高中]/計[人]、高級中等/普通教育[高中]/畢業[人]、高級中等/普通教育[高中]/肄業[人]、高級中等/職業教育[高職]/計[人]、高級中等/職業教育[高職]/五專前三年肄業[人]、高級中等/職業教育[高職]/畢業[人]、高級中等/職業教育[高職]/肄業[人]、國中/計[人]、國中/畢業[人]、國中/肄業[人]、初職/計[人]、初職/畢業[人]、初職/肄業[人]、國小/計[人]、國小/畢業[人]、國小/肄業[人]、自修[人]、不識字[人]
臺北市15歲以上人口之教育程度按年齡別,統計,"臺北市15歲以上人口之教育程度按年齡別時間數列統計資料
",統計期、年齡別、總計[人]、博士/計[人]、博士/畢業[人]、博士/肄業[人]、碩士/計[人]、碩士/畢業[人]、碩士/肄業[人]、大學/計[人]、大學/畢業[人]、大學/肄業[人]、專科/合計/計[人]、專科/合計/畢業[人]、專科/合計/肄業[人]、專科/二或三年制/計[人]、專科/二或三年制/畢業[人]、專科/二或三年制/肄業[人]、專科/五年制/後兩年/計[人]、專科/五年制/後兩年/畢業[人]、專科/五年制/後兩年/肄業[人]、高級中等/普通教育[高中]/計[人]、高級中等/普通教育[高中]/畢業[人]、高級中等/普通教育[高中]/肄業[人]、高級中等/職業教育[高職]/計[人]、高級中等/職業教育[高職]/五專前三年肄業[人]、高級中等/職業教育[高職]/畢業[人]、高級中等/職業教育[高職]/肄業[人]、國中/計[人]、國中/畢業[人]、國中/肄業[人]、初職/計[人]、初職/畢業[人]、初職/肄業[人]、國小/計[人]、國小/畢業[人]、國小/肄業[人]、自修[人]、不識字[人]
臺北市15歲以上人口之教育程度,統計,"臺北市15歲以上人口之教育程度時間數列統計資料
",統計期、性別、總計[人]、博士/計[人]、博士/畢業[人]、博士/肄業[人]、碩士/計[人]、碩士/畢業[人]、碩士/肄業[人]、大學/計[人]、大學/畢業[人]、大學/肄業[人]、專科/合計/計[人]、專科/合計/畢業[人]、專科/合計/肄業[人]、專科/二或三年制/計[人]、專科/二或三年制/畢業[人]、專科/二或三年制/肄業[人]、專科/五年制/後兩年/計[人]、專科/五年制/後兩年/畢業[人]、專科/五年制/後兩年/肄業[人]、高級中等/普通教育[高中]/計[人]、高級中等/普通教育[高中]/畢業[人]、高級中等/普通教育[高中]/肄業[人]、高級中等/職業教育[高職]/計[人]、高級中等/職業教育[高職]/五專前三年肄業[人]、高級中等/職業教育[高職]/畢業[人]、高級中等/職業教育[高職]/肄業[人]、國中/計[人]、國中/畢業[人]、國中/肄業[人]、初職/計[人]、初職/畢業[人]、初職/肄業[人]、國小/計[人]、國小/畢業[人]、國小/肄業[人]、自修[人]、不識字[人]
臺北市人口離婚情形,統計,"臺北市人口離婚情形時間數列統計資料
",統計期、登記/發生日期、離婚對數/總計[對]、離婚對數/相同性別[對]、離婚對數/對象為本國國籍配偶[對]、離婚對數/對象為大陸港澳配偶[對]、離婚對數/對象為其他外籍配偶[對]、離婚對數中配偶為大陸港澳及其他外籍人士之對數比率[%]、平均離婚年齡/男[歲]、平均離婚年齡/女[歲]
臺北市人口結婚情形,統計,"臺北市人口結婚情形時間數列統計資料
",統計期、登記/發生日期、結婚對數/總計[對]、結婚對數/相同性別[對]、結婚對數/對象為本國國籍配偶[對]、結婚對數/對象為大陸港澳配偶[對]、結婚對數/對象為其他外籍配偶[對]、結婚對數中配偶為大陸港澳及其他外籍人士之對數比率[%]、結婚人數中大陸港澳及其他外籍配偶之人數比率[%]、結婚人數/總計/男[人]、結婚人數/總計/女[人]、結婚人數/初婚/男[人]、結婚人數/初婚/女[人]、結婚人數/離婚或終止結婚/男[人]、結婚人數/離婚或終止結婚/女[人]、結婚人數/喪偶再婚/男[人]、結婚人數/喪偶再婚/女[人]、結婚平均年齡/全體/男[歲]、結婚平均年齡/全體/女[歲]、結婚平均年齡/初婚/男[歲]、結婚平均年齡/初婚/女[歲]、結婚平均年齡/離婚或終止結婚再婚/男[歲]、結婚平均年齡/離婚或終止結婚再婚/女[歲]、結婚平均年齡/喪偶再婚/男[歲]、結婚平均年齡/喪偶再婚/女[歲]
臺北市原住民婚姻狀況,統計,"臺北市原住民婚姻狀況時間數列統計資料
",統計期、原住民別、總計/計[人]、總計/男[人]、總計/女[人]、15歲以上/合計/計[人]、15歲以上/合計/男[人]、15歲以上/合計/女[人]、15歲以上/未婚/計[人]、15歲以上/未婚/男[人]、15歲以上/未婚/女[人]、15歲以上/有偶/計[人]、15歲以上/有偶/男[人]、15歲以上/有偶/女[人]、15歲以上/有偶/相同性別/計[人]、15歲以上/有偶/相同性別/男[人]、15歲以上/有偶/相同性別/女[人]、15歲以上/離婚或終止結婚/計[人]、15歲以上/離婚或終止結婚/男[人]、15歲以上/離婚或終止結婚/女[人]、15歲以上/離婚或終止結婚/相同性別/計[人]、15歲以上/離婚或終止結婚/相同性別/男[人]、15歲以上/離婚或終止結婚/相同性別/女[人]、15歲以上/喪偶/計[人]、15歲以上/喪偶/男[人]、15歲以上/喪偶/女[人]、15歲以上/喪偶/相同性別/計[人]、15歲以上/喪偶/相同性別/男[人]、15歲以上/喪偶/相同性別/女[人]、未滿15歲/合計/計[人]、未滿15歲/合計/男[人]、未滿15歲/合計/女[人]、未滿15歲/未婚/計[人]、未滿15歲/未婚/男[人]、未滿15歲/未婚/女[人]、未滿15歲/有偶/計[人]、未滿15歲/有偶/男[人]、未滿15歲/有偶/女[人]、未滿15歲/離婚或終止結婚/計[人]、未滿15歲/離婚或終止結婚/男[人]、未滿15歲/離婚或終止結婚/女[人]
臺北市人口之婚姻狀況按年齡別,統計,"臺北市人口之婚姻狀況按年齡別時間數列統計資料
",統計期、婚姻狀況別、性別、總計[人]、未滿15歲[人]、15~19歲[人]、20~24歲[人]、25~29歲[人]、30~34歲[人]、35~39歲[人]、40~44歲[人]、45~49歲[人]、50~54歲[人]、55~59歲[人]、60~64歲[人]、65歲以上[人]
臺北市人口之婚姻狀況,統計,"臺北市人口之婚姻狀況時間數列統計資料
",統計期、總計/計[人]、總計/男[人]、總計/女[人]、未婚/計[人]、未婚/男[人]、未婚/女[人]、有偶/合計/計[人]、有偶/合計/男[人]、有偶/合計/女[人]、有偶/不同性別/計[人]、有偶/不同性別/男[人]、有偶/不同性別/女[人]、有偶/相同性別/計[人]、有偶/相同性別/男[人]、有偶/相同性別/女[人]、離婚或終止婚姻/合計/計[人]、離婚或終止婚姻/合計/男[人]、離婚或終止婚姻/合計/女[人]、離婚或終止婚姻/不同性別/計[人]、離婚或終止婚姻/不同性別/男[人]、離婚或終止婚姻/不同性別/女[人]、離婚或終止婚姻/相同性別/計[人]、離婚或終止婚姻/相同性別/男[人]、離婚或終止婚姻/相同性別/女[人]、喪偶/合計/計[人]、喪偶/合計/男[人]、喪偶/合計/女[人]、喪偶/不同性別/計[人]、喪偶/不同性別/男[人]、喪偶/不同性別/女[人]、喪偶/相同性別/計[人]、喪偶/相同性別/男[人]、喪偶/相同性別/女[人]
臺北市戶政管理及便民服務案件,統計,臺北市戶政管理及便民服務案件時間數列統計資料,統計期、發給國民身分證、填發戶口名簿、核發戶籍謄本、辦理印鑑、門牌/總計、門牌/編釘門牌、門牌/里鄰整編改註戶數、門牌/門牌證明、更正戶籍登記出生年月日、更改姓名、取得國籍之申請、戶政便民服務件數/總計、戶政便民服務件數/電話傳真申請戶籍資料、戶政便民服務件數/通信網路申請戶籍資料、戶政便民服務件數/派員到家辦理服務、戶政便民服務件數/填發一次告知單、戶政便民服務件數/辦理護照人別確認、戶政便民服務件數/辦理自然人憑證、戶政便民服務件數/網路預約辦理戶籍登記、戶政便民服務件數/國民身分證掛失[含撤銷]、戶政便民服務件數/派員查明居住事實服務、戶政便民服務件數/跨機關通報服務、戶政便民服務件數/到校受理初領國民身分證
臺北市原住民年齡分配,統計,"臺北市原住民年齡分配時間數列統計資料
",統計期、性別、總計、0~4歲、5~9歲、10~14歲、15~19歲、20~24歲、25~29歲、30~34歲、35~39歲、40~44歲、45~49歲、50~54歲、55~59歲、60~64歲、65~69歲、70~74歲、75~79歲、80~84歲、85~89歲、90歲以上
臺北市原住民戶口數,統計,"臺北市原住民戶口數時間數列統計資料
",統計期、原住民戶數/總計[戶]、原住民戶數/平地[戶]、原住民戶數/山地[戶]、原住民人口數/總計/合計[人]、原住民人口數/總計/男[人]、原住民人口數/總計/女[人]、原住民人口數/平地/合計[人]、原住民人口數/平地/男[人]、原住民人口數/平地/女[人]、原住民人口數/山地/合計[人]、原住民人口數/山地/男[人]、原住民人口數/山地/女[人]、原住民占全市人口比率[%]、原住民戶量[人/戶]、原住民人口密度[人/平方公里]、原住民性比例[男/百女]
臺北市人口自然增加及社會增加,統計,"臺北市人口自然增加及社會增加時間數列統計資料
",統計期、人口增加數[人]、自然增加/出生人數/總計[人]、自然增加/出生人數/男[人]、自然增加/出生人數/女[人]、自然增加/粗出生率[千分比]、自然增加/死亡人數/總計[人]、自然增加/死亡人數/男[人]、自然增加/死亡人數/女[人]、自然增加/粗死亡率[千分比]、自然增加數[人]、自然增加率[千分比]、社會增加/遷入人數/總計[人]、社會增加/遷入人數/男[人]、社會增加/遷入人數/女[人]、社會增加/遷入率[千分比]、社會增加/遷出人數/總計[人]、社會增加/遷出人數/男[人]、社會增加/遷出人數/女[人]、社會增加/遷出率[千分比]、社會增加/遷入人數[含同區住址邊更][人]、社會增加/遷出人數[含同區住址邊更][人]、社會增加/同區住址邊更遷入人數[人]、社會增加/同區住址邊更遷出人數[人]、社會增加數[人]、社會增加率[千分比]、人口總移動率[千分比]
臺北市人口動態登記(99年12月以後),統計,臺北市人口動態登記(99年12月以後)時間數列統計資料,統計期、遷入人數依來源地/總計、遷入人數依來源地/本市/他區、遷入人數依來源地/臺灣省、遷入人數依來源地/新北市、遷入人數依來源地/桃園市、遷入人數依來源地/臺中市、遷入人數依來源地/臺南市、遷入人數依來源地/高雄市、遷入人數依來源地/福建省、遷入人數依來源地/其他省市、遷入人數依來源地/外國、遷入人數依來源地/初設戶籍、遷入人數依來源地/其他、同區住址變更遷入人數、遷出人數依目的地/總計、遷出人數依目的地/本市/他區、遷出人數依目的地/臺灣省、遷出人數依目的地/新北市、遷出人數依目的地/桃園市、遷出人數依目的地/臺中市、遷出人數依目的地/臺南市、遷出人數依目的地/高雄市、遷出人數依目的地/福建省、遷出人數依目的地/其他省市、遷出人數依目的地/外國、遷出人數依目的地/廢止戶籍、遷出人數依目的地/其他、同區住址變更遷出人數
臺北市人口數按出生地,統計,臺北市人口數按出生地時間數列統計資料,統計期、性別、總計[人]、本國/合計[人]、本國/新北市[人]、本國/臺北市[人]、本國/桃園市[人]、本國/臺中市[人]、本國/臺南市[人]、本國/高雄市[人]、本國/宜蘭縣[人]、本國/新竹縣[人]、本國/苗栗縣[人]、本國/彰化縣[人]、本國/南投縣[人]、本國/雲林縣[人]、本國/嘉義縣[人]、本國/屏東縣[人]、本國/臺東縣[人]、本國/花蓮縣[人]、本國/澎湖縣[人]、本國/基隆市[人]、本國/新竹市[人]、本國/嘉義市[人]、本國/金門縣[人]、本國/連江縣[人]、大陸地區[人]、港澳地區[人]、東南亞地區[人]、其他地區[人]、未詳[人]
臺北市扶養比及老化指數,統計,臺北市扶養比及老化指數時間數列統計資料,統計期、幼年人口數[人]、幼年人口占全市人口比率[%]、青壯年人口數[人]、青壯年人口占全市人口比率[%]、老年人口數[人]、老年人口占全市人口比率[%]、扶老比、扶幼比、扶養比、老化指數
臺北市人口之年齡分配(單齡),統計,臺北市人口之年齡分配(單齡)時間數列統計資料,統計期、性別、總計、未滿1~4歲、未滿1歲、1歲、2歲、3歲、4歲、5~9歲、5歲、6歲、7歲、8歲、9歲、10~14歲、10歲、11歲、12歲、13歲、14歲、15~19歲、15歲、16歲、17歲、18歲、19歲、20~24歲、20歲、21歲、22歲、23歲、24歲、25~29歲、25歲、26歲、27歲、28歲、29歲、30~34歲、30歲、31歲、32歲、33歲、34歲、35~39歲、35歲、36歲、37歲、38歲、39歲、40~44歲、40歲、41歲、42歲、43歲、44歲、45~49歲、45歲、46歲、47歲、48歲、49歲、50~54歲、50歲、51歲、52歲、53歲、54歲、55~59歲、55歲、56歲、57歲、58歲、59歲、60~64歲、60歲、61歲、62歲、63歲、64歲、65~69歲、65歲、66歲、67歲、68歲、69歲、70~74歲、70歲、71歲、72歲、73歲、74歲、75~79歲、75歲、76歲、77歲、78歲、79歲、80~84歲、80歲、81歲、82歲、83歲、84歲、85~89歲、85歲、86歲、87歲、88歲、89歲、90~94歲、90歲、91歲、92歲、93歲、94歲、95~99歲、95歲、96歲、97歲、98歲、99歲、100歲以上
臺北市人口之年齡分配(五歲組),統計,臺北市人口之年齡分配(五歲組)時間數列統計資料,統計期、性別、總計、未滿1~4歲、5~9歲、10~14歲、15~19歲、20~24歲、25~29歲、30~34歲、35~39歲、40~44歲、45~49歲、50~54歲、55~59歲、60~64歲、65~69歲、70~74歲、75~79歲、80~84歲、85~89歲、90~94歲、95~99歲、100歲以上
臺北市戶口之戶量,統計,臺北市戶口之戶量時間數列統計資料,"統計期、戶別、戶數[戶]、人口數[人]、戶量[人/戶]
"
臺北市人口、密度及性比例,統計,臺北市人口、密度及性比例時間數列統計資料,統計期、土地面積[平方公里]、人口數/總計[人]、人口數/男[人]、人口數/女[人]、人口密度[人/平方公里]、性比例[男/百女]
臺北市土地面積,統計,臺北市土地面積時間數列統計資料,統計期、總面積[公頃]、山坡面積[公頃]、平原面積[公頃]、已登記土地面積/合計[公頃]、已登記土地面積/公有地[公頃]、已登記土地面積/私有地[公頃]、已登記土地面積/公私共有地[公頃]、已登記土地占全市面積百分比[%]、未登記土地面積/合計[公頃]、未登記土地面積/已建立標示[公頃]、未登記土地面積/未建立標示[公頃]、未登記土地占全市面積百分比[%]
臺北市徵兵及齡男子兵籍調查概況,統計,徵兵及齡男子兵籍調查概況,年次、兵籍調查人數、教育程度大學專科畢業人數、教育程度大學專科肄業人數、教育程度高中高職畢業人數、教育程度高中高職肄業人數、教育程度國中畢業人數、教育程度國中肄業人數、教育程度國小以下人數、教育程度其他人數、技術專長駕駛人數、技術專長機械修理人數、技術專長土木建築人數、技術專長電器人數、技術專長化學人數、技術專長五金礦冶人數、技術專長測繪人數、技術專長編織縫紉皮革人數、技術專長醫護人數、技術專長藝工人數、技術專長理髮人數、技術專長外語人數、技術專長方言人數、技術專長游泳騎術人數、技術專長財務人數、技術專長資訊工程人數、技術專長食品人數、技術專長汽車修護人數、技術專長烹飪人數、技術專長美工人數、技術專長印刷人數、技術專長軍樂人數、技術專長攝影人數、技術專長爆破人數、技術專長儀隊人數、技術專長水中機械人數、技術專長重機械操作人數、技術專長機工廠車銑磨沖壓技工人數、技術專長鉗工鈑金工人數、技術專長電氣焊工人數、技術專長儀器光學製造器材修理技工人數、技術專長電機（力）技工人數、技術專長電話機及有線電修護技工人數、技術專長無線電修理技工人數、技術專長電子儀器修理技工人數、技術專長其他人數、兵役狀況羈押或因案入矯正機關執行中人數、兵役狀況身心障礙或重大傷病人數、兵役狀況在學中人數、兵役狀況僑民役男人數、兵役狀況行方不明人數、兵役狀況已服役人數、兵役狀況出境役男人數、兵役狀況未在學有報考大專升學意願人數
替代役役男薪俸標準表,統計,替代役役男薪俸標準資訊,區分、薪俸標準薪額金額、薪俸標準管理加給金額、薪俸標準專業加給金額、合計金額、比照國軍級別
新兵訓練中心郵政信箱及連絡電話,統計,提供各新兵訓練中心郵政信箱及連絡電話資訊,新兵訓練中心單位、所在縣市、地點、郵政信箱、連絡電話
替代役役男地域加給支給標準表,統計,替代役役男地域加給支給標準資訊,地域、地域等級、地點、職務、月支標準金額
替代役役男主副食費發放標準表,統計,替代役役男主、副食費發放標準資訊,身份別、服役地區、範圍、每月金額開伙、每月金額不開伙
臺北市政府各役政單位地址及連絡電話,統計,提供臺北市各役政單位地址及連絡電話資訊,役政單位、郵遞區號、地址、連絡電話、傳真
臺北市張貼板欄核准地點一覽,環保,"臺北市張貼板欄核准設置地點,許可期限,許可文號,設置人,管理人/聯絡電話,收費標準等資訊",序號、設置地點、核准期限、核准文號、申請人
臺北市文山區、中正區已登記公私有土地筆數面積統計表,地政,臺北市文山區及中正區(愛國東、西路以南)已登記公私有土地筆數面積年報,年度、區域別、土地總面積、已登記公私有土地面積、已登記公有土地面積、已登記私有土地面積、已登記公私共有土地面積、未登記土地總面積、土地總筆數、已登記公私有土地筆數、已登記公有土地筆數、已登記私有土地筆數、已登記公私共有土地筆數、未登記土地筆數
臺北市排水溝渠清疏統計表,環保,年度排水溝渠統計,序號、單位別、溝體別、分析項目、1月（數值）、2月（數值）、3月（數值）、4月（數值）、5月（數值）、6月（數值）、7月（數值）、8月（數值）、9月（數值）、10月（數值）、11月（數值）、（數值）、12月（數值）、合計（數值）
臺北市徵收營建工程空氣污染防制費統計,統計,年度徵收金額,"年度、地區、工程類別、申報金額、申報件數、資料時間日期、更新頻率、繳費櫃檯地址、聯絡電話、分機
"
臺北市布建90顆感測器位置明細,環保,本資料集介接環境部資料開放平臺,資料集名稱、資料集介接說明、報告連結、資料集研究機關、機關代碼、承辦人員、資料類型、更新頻率、關鍵詞、內容摘要
臺北市空氣品質微型感測資料,環保,臺北市各行政區空氣品質微型感測資料,資料集名稱、資料集介接說明、報告連結、資料集研究機關、機關代碼、承辦人員、資料類型、更新頻率、關鍵詞、內容摘要
臺北市空氣品質微型感測器屬性資料,環保,本資料集提供臺北市環保局污染源稽查(查核)處分概況資訊  ,資料集名稱、資料集介接說明、報告連結、資料集研究（主辦）機關、機關代碼、承辦人員、資料類型、更新頻率、關鍵詞、內容摘要
臺北市民眾檢舉違反廢棄物清理法與獎勵金發放辦法,環保,說明民眾檢舉獎勵金檢舉及發放之流程、相關依據、檢舉方式及注意事項,序號、問題、說明、修正年度、更新頻率
臺北市VOCs監測資料,環保,本資料集介接環境部環境資料開放平臺,資料集名稱、資料集介接說明、報告連結、資料集研究機關、機關代碼、承辦人員、資料類型、更新頻率、關鍵詞、內容摘要
臺北市環保局污染源稽查(查核)處分概況,環保,臺北市環保局污染源稽查處分概況(年度、空氣污染、水污染、廢棄物污染、噪音污染),年度、空氣污染、水污染、廢棄物污染、噪音污染
臺北市公害陳情案件受理統計,環保,臺北市受理民眾陳情公害陳情案件之統計資料,"名稱、資料、網址、更新時間、更新頻率
"
臺北市民眾繳納違反環保法令行政罰鍰方式及其他相關注意事項,環保,說明民眾違反臺北市環保法令所受之行政罰鍰如何繳納，民眾可依選擇之繳款方式不同，產出相對應之繳款地點或平台以及支付方式等注意事項,繳款方式、說明、注意事項、修正年度、更新頻率
臺北市移動污染源稽查次數統計年報,環保,臺北市移動污染源稽查次數統計,資料集名稱、資料集介接說明、資料連結、資料集研究（主辦）機關、機關代碼資料範圍、更新頻率、內容摘要
臺北市政府環境保護局洗街車資料,環保,洗街車路段等相關資訊,車輛、車號、路線、道路名稱、路線起點、路線迄點、街道長度、洗掃次數、維護里程數
臺北市巨大廢棄物清運,環保,12行政區巨大廢棄物清運預約時間及預約電話,"行政區、地址-行政區域代碼、分隊、市話、各分隊收運轄區里、預約時間
"
臺北市役男免役禁役緩徵處理情形統計表,統計,臺北市役男免役禁役緩徵處理情形統計,年、行政區域、合計人數、免禁役小計人數、免禁役免役人數、免禁役禁役人數、緩徵小計人數、緩徵兵役法第三十五條第一項第一款專科以上學校學生人數、緩徵兵役法第三十五條第一項第一款高級中學學校學生人數、緩徵兵役法第三十五條第一項第二款人數
臺北市萬華區各里簡易疏散避難地圖資訊,民政,提供臺北市萬華區各里簡易疏散避難圖資訊,District(區)、AreaCode(行政區域代碼)、Village(里)、Language(語系)、FILE_URL(圖檔連結網址)
臺北市政府民政局暨所屬機關志工性別統計,統計,臺北市政府民政局暨所屬機關志工性別統計相關資訊,機關名稱、女性(統計數值)、男性(統計數值)、性比例每百名女子對男子數、女性比例、男性比例
臺北市政府工務局自行開發系統列表,資訊,表列臺北市政府工務局及所屬機關建立應用系統名稱、使用對象、機關代碼、承辦單位、功能摘要等資料列表,系統名稱、使用對象、機關代碼、承辦單位、功能摘要
臺北市公私立醫院病床數統計,醫療,臺北市公私立醫院病床數統計。,機構名稱、地址、電話、急性一般病床數、急性精神病床數、慢性一般病床數、慢性精神病床數、安寧病床數、加護病床、亞急性呼吸照護病床、慢性呼吸照護病床、燒傷病床、急診觀察床、其他觀察病床、手術恢復床、嬰兒床、嬰兒病床、血液透析病床、腹膜透析病床、精神科加護病床、燒傷加護病床、普通隔離病床、正壓隔離病床、負壓隔離病床、骨髓移植病床、整合醫學急診後送病床
臺北市政府衛生局公告食品、藥品、醫療器材及化粧品違規廣告處罰案件統計表,醫療,臺北市政府衛生局公告食品、藥品、醫療器材及化粧品違規廣告處罰案件統計表。,行政區域代碼、資料集名稱、檔案連結、檔案格式、更新時間
臺北市各區清潔隊資源回收量,環保,臺北市各區清潔隊資源回收量之列表,年度、月、行政區域代碼、區隊、回收量（噸）
臺北市戒菸合約醫事機構,醫療,戒菸合約醫事機構。,醫事機構代碼、層級、院所名稱、電話、分機、地址、可給藥、可衛教、僅調劑
臺北市流感疫苗合約醫療院所(3歲以下幼兒),醫療,"臺北市流感疫苗合約醫療院所名冊(3歲以下幼兒)
",序號、行政區、院所名稱、地址、電話
臺北市流感疫苗合約醫療院所(3歲以上(含3歲)幼童),醫療,"臺北市流感疫苗合約醫療院所名冊(3歲以上(含3歲)幼童)
",序號、行政區、院所名稱、地址、電話、語音預約
臺北市辦理建物登記概況(他項權利登記),統計,臺北市辦理建物登記概況(他項權利登記)時間數列統計資料,統計期、棟數/總計[棟]、棟數/典權/合計[棟]、棟數/典權/設定[棟]、棟數/典權/移轉[棟]、棟數/典權/變更[棟]、棟數/典權/塗銷[棟]、棟數/抵押權/合計[棟]、棟數/抵押權/設定[棟]、棟數/抵押權/移轉[棟]、棟數/抵押權/變更[棟]、棟數/抵押權/塗銷[棟]、棟數/法院判決調解和解[棟]、棟數/其他[棟]、面積/總計[公頃]、面積/典權/合計[公頃]、面積/典權/設定[公頃]、面積/典權/移轉[公頃]、面積/典權/變更[公頃]、面積/典權/塗銷[公頃]、面積/抵押權/合計[公頃]、面積/抵押權/設定[公頃]、面積/抵押權/移轉[公頃]、面積/抵押權/變更[公頃]、面積/抵押權/塗銷[公頃]、面積/法院判決調解和解[公頃]、面積/其他[公頃]
台北市政府環境保護局毒性及關注化學物質管理法裁處案件明細,環保,說明違反毒性及關注化學物質管理法之裁處案件資料,序號、行為人姓名、違反日期、開立日期、違反地點、違反事實、違反法令、罰款金額
臺北市政府優秀公務人員國外短期研習,統計,本府優秀公務人員國外短期研習,序號、民國年、男生、女生、合計
臺北市自行車竊盜點位資訊,治安,臺北市104年1月-115年2月份自行車竊盜點位資訊,編號、案類、發生日期、發生時段、發生地點
臺北市住宅竊盜點位資訊,治安,臺北市104年1月-115年2月份住宅竊盜點位資訊,編號、案類、發生日期、發生時段、發生地點
臺北市汽車竊盜點位資訊,治安,臺北市104年1月-115年2月份汽車竊盜點位資訊,編號、案類、發生日期、發生時段、發生地點
臺北市機車竊盜點位資訊,治安,臺北市107年1月-115年2月份機車竊盜點位資訊,編號、案類、發生日期、發生時段、發生地點
臺北市街頭隨機強盜案件點位資訊,治安,臺北市107年1月-115年2月份街頭隨機強盜案件點位資訊,編號、案類、發生日期、發生時段、發生地點、備註
