資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市執行菸害防制法稽查成果,醫療,"行政區別、總計、自動販賣、郵購電子購物或其他無法辨識消費者年齡之方式（依菸害防制法第5條第1項）、開放式貨架等可由消費者直接取得且無法辨識年齡之方式（依菸害防制法第5條第2項）、每一販賣單位以少於20支及其內容物淨重低於15公克之包裝方式（依菸害防制法第5條第3項）、菸品容器加註之文字及標示（依菸害防制法第6條第1項）、菸品容器最大外表正反面應以中文標示健康警示圖文與戒菸相關資訊（依菸害防制法第6條第2項）、尼古丁及焦油含量標示（依菸害防制法第7條第1項）、尼古丁及焦油含量不得超過最高含量（依菸害防制法第7條第2項）、促銷菸品或為菸品廣告（依菸害防制法第9條）、販賣菸品場所標示及展示（依菸害防制法第10條第1項）、營業場所不得免費供應菸品（依菸害防制法第11條）、未滿18歲吸菸者（依菸害防制法第12條第1項）、供應菸品予未滿18歲者（依菸害防制法第13條第1項）、強迫引誘等方式使孕婦吸菸（依菸害防制法第13條第2項）、不得製造輸入販賣菸品形狀之物品（依菸害防制法第14條）、全面禁菸場所不得吸菸（依菸害防制法第15條第1項）、所有入口處設置明顯禁菸標示且不得供應與吸菸有關器物（依菸害防制法第15條第2項）、未設吸菸區者全面禁菸（依菸害防制法第16條第1項）、所有入口處及其他適當地點設置明顯禁菸標示或除吸菸區外不得吸菸意旨之標示除吸菸區外不得供應與吸菸有關器物（依菸害防制法第16條第2項）、吸菸區標示及設置規定（依菸害防制法第16條第3項）、下午9時以後開始營業且18歲以上始能進入之酒吧視聽歌唱場所（依菸害防制法第15條第1項第11款）、其他經各級主管機關指定公告之場所及交通工具（依菸害防制法第16條第1項第4款）、其他
","行政區別、總計、自動販賣郵購電子購物或其他無法辨識消費者年齡之方式（依菸害防制法第5條第1項）、開放式貨架等可由消費者直接取得且無法辨識年齡之方式（依菸害防制法第5條第2項）、每一販賣單位以少於20支及其內容物淨重低於15公克之包裝方式（依菸害防制法第5條第3項）、菸品容器加註之文字及標示（依菸害防制法第6條第1項）、菸品容器最大外表正反面應以中文標示健康警示圖文與戒菸相關資訊（依菸害防制法第6條第2項）、尼古丁及焦油含量標示數（依菸害防制法第7條第1項）、尼古丁及焦油含量不得超過最高含量數（依菸害防制法第7條第2項）、促銷菸品或為菸品廣告數（依菸害防制法第9條）、販賣菸品場所標示及展示（依菸害防制法第10條第1項）、營業場所不得免費供應菸品數（依菸害防制法第11條）、未滿18歲吸菸者人數（依菸害防制法第12條第1項）、供應菸品予未滿18歲者（依菸害防制法第13條第1項）、強迫引誘等方式使孕婦吸菸（依菸害防制法第13條第2項）、不得製造輸入販賣菸品形狀之物品（依菸害防制法第14條）、全面禁菸場所不得吸菸（依菸害防制法第15條第1項）、所有入口處設置明顯禁菸標示且不得供應與吸菸有關器物（依菸害防制法第15條第2項）、未設吸菸區者全面禁菸（依菸害防制法第16條第1項）、所有入口處及其他適當地點設置明顯禁菸標示或除吸菸區外不得吸菸意旨之標示除吸菸區外不得供應與吸菸有關器物（依菸害防制法第16條第2項）、吸菸區標示及設置規定（依菸害防制法第16條第3項）、下午9時以後開始營業且18歲以上始能進入之酒吧視聽歌唱場所（依菸害防制法第15條第1項第11款）、其他經各級主管機關指定公告之場所及交通工具（依菸害防制法第16條第1項第4款）、其他、行政區別、總計、自動販賣郵購電子購物或其他無法辨識消費者年齡之方式數、開放式貨架或其他可由消費者直接取得之方式數、每一販賣單位以少於20支及其內容物淨重低於15公克之包裝方式數、菸品容器加註之文字及標示數、菸品容器最大正面及反面明顯位置處應以中文標示健康警示圖文及戒菸相關資訊且其標示面積不得低於該面積50%、菸品不得使用經中央主管機關公告禁止使用之添加物數、尼古丁及焦油含量標示、菸品指定菸品必要之組合元件之促銷或廣告數、販賣菸品場所標示數、營業場所不得免費供應菸品指定菸品必要之組合元件、不得製造輸入販賣供應展示或廣告與菸品或菸品容器形狀近似物品、任何人不得製造輸入販賣供應展示或廣告之物品數、未滿20歲者不得吸菸、不得供應菸品指定菸品必要之組合元件予未滿20歲之人亦不得以強迫引誘或其他方式使孕婦或未滿20歲之人吸菸、全面禁菸場所不得吸菸、於旅館商場餐飲店酒吧夜店雪茄館或其他供公眾消費之室內場所且未設置獨立空調及獨立隔間之吸菸室內吸菸、所有入口處設置明顯禁菸標示且不得供應與吸菸有關器物、未設吸菸區者全面禁菸、其他經各級主管機關指定公告之場所及交通工具、所有入口處及其他適當地點設置明顯禁菸標示或除吸菸區外不得吸菸意旨之標示;除吸菸區外不得供應與吸菸有關器物、吸菸區標示及設置規定、其他
"
臺北自來水事業處供水系統內水質,資訊,臺北自來水事業處供水系統內水質資訊,"項次、檢驗項目、單位、水質標準限值、方法偵測極限數值、瑠公圳公園數值、富陽公園數值、民生加壓站數值、富生公園數值、民族東路數值、進安公園數值、保福路數值、中和員山路數值、公館加壓站數值、永和區數值、三重同安東街數值、大有街數值、新店安康路數值、十四張公園數值、羅斯福路六段數值、木新路數值、中山北路一段數值、三清宮數值、研究院路數值、興南宮數值、大湖公園加壓站數值、承德路七段數值、陽明山格致路數值、士林至善路數值、龍塘綠地數值、汐止芳園街數值
"
臺北市哺集乳室,醫療,(1)臺北市依法應設置哺集乳室之公共場所：依據公共場所母乳哺育條例規範所設置之哺集乳室(2)友善臺北哺集乳室：收錄526筆本市對外開放民眾使用之哺集乳室資訊 ,機關名稱、開放時間、地址、電話、分機、手機、行政區、機構名稱、地址、電話、分機、手機、開放時間、位置指引、基本設備、友善設備或服務、優良哺集乳室認證效期、輪椅使用、貼心小提醒
臺北自來水事業處各淨水場清水水質,資訊,臺北自來水事業處各淨水場清水水質資訊,項次、檢驗項目、單位、水質標準限值、方法偵測極限數值、直潭淨水場數值、長興淨水場數值、公館淨水場數值、雙溪水源數值、士林水源數值、三角埔數值、頂北投水源數值、鹿角坑清數值
臺北自來水事業處各淨水場原水水質,資訊,臺北自來水事業處各淨水場原水水質資訊,項次、檢驗項目、單位、水源水質標準限值、方法偵測極限數值、直潭水源數值、青潭水源數值、雙溪水源數值、士林水源數值、陽明山第一水源數值、陽明山第三水源數值、陽明山第四水源數值、頂北投水源數值、鹿角坑數值、北投第一水源數值
臺北市社區輿情通報數,民政,本數據為臺北市社區中所執行之重大政策、重要措施以及公共工程之彙報資訊，以及所發生警政消防、社會救助及民政區政等不定期案件通報數總數，108-111年以年度總數公開，112年起逢每年1、3、5、7、9、11月份公告前2月份之各別數據。,編號、年、月、輿情通報案件數（單位：件）、備註
臺北市所轄面積暨行政區里鄰數量月報表,民政,臺北市所轄面積暨各行政區、里、鄰數量每月統計報表,行政區別、面積（平方公里）、區數量、里數量、鄰數量
臺北市政府職期遷調人數統計,統計,臺北市政府實施職期遷調情形統計表,序號、各類人員辦理情形、人數、總計、備註
臺北自來水事業處業務關鍵數據,經濟,本表為臺北自來水事業處有關生產、供水、營業、人事及財務等業務關鍵數據,年月、配水量（立方公尺）、自來水直飲台數量（台）、線上水質監測站數量（站）、平均水壓（kg/cm2）、輸配水管線長度（公里）、計費水量（立方公尺）、支援台水水量（立方公尺）、扣支援台水水量後之用水量（立方公尺）、供水區域之總人口數（人）、供水區域用水人口數（人）、供水普及率（%）、用戶數（戶）、每人每日平均用水量（公升）、員工人數（人）、職員（人）、工員（人）、每員工平均服務用戶數（戶）、本月收入（千元）、銷貨收入（千元）、勞務收入（千元）、其他營業收入（千元）、營業外收入（千元）、本月支出（千元）、銷貨成本（千元）、勞務成本（千元）、其他營業成本（千元）、營業外費用（千元）、本月盈餘（千元）、資產（千元）、負債（千元）、業主權益（千元）
The Key Business Data of Taipei Water Department(Taipei Water Department),經濟,本表為臺北自來水事業處有關生產、供水、營業、人事及財務等業務關鍵數據,YYYMM（ROC）、Volume of water distributed（CBM）、Place and unit of Direct Drinking Stand（Quantity）、No. of on- line water quality monitoring stations（Quantity）、Average water pressure（kg/cm2）、Length of pipelines of transportation and distribution（Km）、Revenue water volume（CBM）、Volume supporting Taiwan Water Corp.（CBM）、Water volume consumed after deducting volume supporting Taiwan Water Corp.（CBM）、Total population in the water supply area（Person）、Water consuming population in the water supply area（Person）、Prevalence rate of water supply（％）、Number of customer（Household）、Average per day per capita water consumption（Liter）、Number of employees（Person）、Staff（Person）、Worker（Person）、Average number of customer served by each employee（Household）、Revenue of current month（NTD K）、Sales revenue（NTD K）、Service revenue（NTD K）、Other business income（NTD K）、Non-operating income（NTD K）、Expenditure of current month（NTD K）、Sales cost（NTD K）、Service costs（NTD K）、Other operating costs（NTD K）、Non-operating expenses（NTD K）、Earnings of current months（NTD K）、Asset（NTD K）、Liability（NTD K）、Owens Liability（NTD K）
臺北市政府消防局楷模名冊,消防,鳳凰獎楷模,"年度、縣市代碼、機關代碼、職稱、姓名、性別、更新頻率、備註
"
臺北市政府秘書處接待國際貴賓一覽表,資訊,臺北市政府秘書處接待國際貴賓一覽表(107年迄今),國家、接待長官、日期、訪團名稱、訪團人數
臺北市與各姊妹市締結資料,統計,臺北市與國際城市締盟資料,國名、市名、日期、時任臺北市市長、時任姊妹市市長
臺北市就業促進研習班開課表,勞動,臺北市就業促進研習班開課表相關資料,序號、上課日期、上課時間、站別、辦理方式、類別、課程名稱、課綱、講師、上課地點、預約人數、地址、備註
臺北市就業服務處求職求才職缺資訊,勞動,求職求才職缺,公司名稱、職缺、工作內容、職缺數、薪資種類、薪資起、薪資迄、活動時間、活動地點
臺北市求職、求才及推介就業人數按職業別分,勞動,臺北市求職、求才及推介就業人數-按職業別分之統計報表,項目別、總計、民意代表主管及經理人員男、專業人員女、技術員及助理專業人員新登記合計、事務支援人員新登記男、服務及售貨工作人員新登記女、農林漁牧業生產人員有效合計、技術有關工作人員有效男、機械設備操作及組裝人員有效女、基層技術工及勞力工新登記合計、其他新登記合計
