year,months,organ,kind,number,numofpeople
106,2,新北市政府警察局,勸導,1921,1921
106,2,新北市板橋分局,勸導,276,276
106,2,新北市海山分局,勸導,15,15
106,2,新北市中和分局,勸導,374,374
106,2,新北市永和分局,勸導,175,175
106,2,新北市三重分局,勸導,101,101
106,2,新北市新莊分局,勸導,91,91
106,2,新北市土城分局,勸導,40,40
106,2,新北市新店分局,勸導,318,318
106,2,新北市蘆洲分局,勸導,147,147
106,2,新北市三峽分局,勸導,120,120
106,2,新北市樹林分局,勸導,225,225
106,2,新北市汐止分局,勸導,19,19
106,2,新北市淡水分局,勸導,8,8
106,2,新北市瑞芳分局,勸導,11,11
106,2,新北市金山分局,勸導,1,1
106,3,新北市政府警察局,總計,3692,3692
106,3,新北市板橋分局,總計,563,563
106,3,新北市海山分局,總計,107,107
106,3,新北市中和分局,總計,515,515
106,3,新北市永和分局,總計,582,582
106,3,新北市三重分局,總計,274,274
106,3,新北市新莊分局,總計,288,288
106,3,新北市土城分局,總計,105,105
106,3,新北市新店分局,總計,404,404
106,3,新北市蘆洲分局,總計,257,257
106,3,新北市三峽分局,總計,124,124
106,3,新北市樹林分局,總計,228,228
106,3,新北市汐止分局,總計,131,131
106,3,新北市淡水分局,總計,82,82
106,3,新北市瑞芳分局,總計,28,28
106,3,新北市金山分局,總計,4,4
106,3,新北市政府警察局,罰鍰,1778,1778
106,3,新北市板橋分局,罰鍰,286,286
106,3,新北市海山分局,罰鍰,83,83
106,3,新北市中和分局,罰鍰,141,141
106,3,新北市永和分局,罰鍰,318,318
106,3,新北市三重分局,罰鍰,92,92
106,3,新北市新莊分局,罰鍰,206,206
106,3,新北市土城分局,罰鍰,63,63
106,3,新北市新店分局,罰鍰,156,156
106,3,新北市蘆洲分局,罰鍰,161,161
106,3,新北市三峽分局,罰鍰,14,14
106,3,新北市樹林分局,罰鍰,53,53
106,3,新北市汐止分局,罰鍰,114,114
106,3,新北市淡水分局,罰鍰,73,73
106,3,新北市瑞芳分局,罰鍰,15,15
106,3,新北市金山分局,罰鍰,3,3
106,3,新北市政府警察局,没入攤架,0,0
106,3,新北市板橋分局,没入攤架,0,0
106,3,新北市海山分局,没入攤架,0,0
106,3,新北市中和分局,没入攤架,0,0
106,3,新北市永和分局,没入攤架,0,0
106,3,新北市三重分局,没入攤架,0,0
106,3,新北市新莊分局,没入攤架,0,0
106,3,新北市土城分局,没入攤架,0,0
106,3,新北市新店分局,没入攤架,0,0
106,3,新北市蘆洲分局,没入攤架,0,0
106,3,新北市三峽分局,没入攤架,0,0
106,3,新北市樹林分局,没入攤架,0,0
106,3,新北市汐止分局,没入攤架,0,0
106,3,新北市淡水分局,没入攤架,0,0
106,3,新北市瑞芳分局,没入攤架,0,0
106,3,新北市金山分局,没入攤架,0,0
106,3,新北市政府警察局,拆除攤架,0,0
106,3,新北市板橋分局,拆除攤架,0,0
106,3,新北市海山分局,拆除攤架,0,0
106,3,新北市中和分局,拆除攤架,0,0
106,3,新北市永和分局,拆除攤架,0,0
106,3,新北市三重分局,拆除攤架,0,0
106,3,新北市新莊分局,拆除攤架,0,0
106,3,新北市土城分局,拆除攤架,0,0
106,3,新北市新店分局,拆除攤架,0,0
106,3,新北市蘆洲分局,拆除攤架,0,0
106,3,新北市三峽分局,拆除攤架,0,0
106,3,新北市樹林分局,拆除攤架,0,0
106,3,新北市汐止分局,拆除攤架,0,0
106,3,新北市淡水分局,拆除攤架,0,0
106,3,新北市瑞芳分局,拆除攤架,0,0
106,3,新北市金山分局,拆除攤架,0,0
106,3,新北市政府警察局,勸導,1914,1914
106,3,新北市板橋分局,勸導,277,277
106,3,新北市海山分局,勸導,24,24
106,3,新北市中和分局,勸導,374,374
106,3,新北市永和分局,勸導,264,264
106,3,新北市三重分局,勸導,182,182
106,3,新北市新莊分局,勸導,82,82
106,3,新北市土城分局,勸導,42,42
106,3,新北市新店分局,勸導,248,248
106,3,新北市蘆洲分局,勸導,96,96
106,3,新北市三峽分局,勸導,110,110
106,3,新北市樹林分局,勸導,175,175
106,3,新北市汐止分局,勸導,17,17
106,3,新北市淡水分局,勸導,9,9
106,3,新北市瑞芳分局,勸導,13,13
106,3,新北市金山分局,勸導,1,1
106,4,新北市政府警察局,總計,3577,3577
106,4,新北市板橋分局,總計,573,573
106,4,新北市海山分局,總計,100,100
106,4,新北市中和分局,總計,567,567
106,4,新北市永和分局,總計,456,456
