縣市名,縣市別代碼,市集名稱,年度,星等
臺北市,63000,光復市場,113,3
臺北市,63000,臺北市公有木柵市場,113,3
臺北市,63000,永樂市場1樓,113,3
臺北市,63000,西寧市場B1,113,3
臺北市,63000,台北市公有東門市場,113,3
臺北市,63000,直興市場,113,3
臺北市,63000,臨江街觀光夜市,113,3
臺北市,63000,晴光臨時攤販集中場,113,3
臺北市,63000,四平街臨時攤販集中場,113,3
臺北市,63000,雙城街臨時攤販集中場,113,3
臺北市,63000,延平北路三段臨時攤販集中場,113,3
臺北市,63000,艋舺夜市,113,3
臺北市,63000,廣州街臨時攤販集中場,113,3
臺北市,63000,梧州街臨時攤販集中場,113,3
臺北市,63000,公館觀光夜市,113,3
臺北市,63000,行天宮命理街,113,2
臺北市,63000,台北市公有雙連市場,113,2
臺北市,63000,建國市場,113,2
臺北市,63000,中研市場,113,2
臺北市,63000,南松市場,113,1
臺北市,63000,永吉市場,113,1
臺北市,63000,德昌街臨時攤販集中場,113,1
